1,ガンダム主人公のアムロレイ愛用のパンツは？,赤いブリーフ,黒のボクサーパンツ,青縦縞のトランクス,ノーパン,3,ファーストガンダム、逆襲のシャア、ガンダムTheOriginなど一貫してこのパンツでしたね。,ガンダム
2,ガンダム新作映画”ククルスドアンの島”。アニメ版では第何話？,第７話,第１５話,第２３話,最終回,2,アニメ版はファンの間では神回＆作画崩壊で有名でしたね。映画は漫画ガンダムTheOriginがベースになっているようですね。,ガンダム
3,ガンダム映画”閃光のハサウェイ”。主人公ハサウェイが使用したガンダムは？,ペーネロペー,フリーダム,μ(ニュー),Ξ(クスィー),4,映画の中ではΞG（クスィージー）と呼ばれていましたね,ガンダム
4,ガンダム登場人物”赤い彗星”の異名を持つ人物の本名は？,キャスバル・レム・ダイクン,クワトロ・バジーナ,シャア・アズナブル,エドワウ・マス ,1,キャスバル→エドワウ→シャア→クワトロ→シャアの順番で名前が変わりましたね。,ガンダム
5,ファーストガンダム登場人物カイ・シデン。のちの職業は？,ジャーナリスト,軍人,テロリスト,アイドル,1,ベルファスト大学でジャーナリズムを専攻、通信社勤務を経てフリーのジャーナリストへ。Zガンダム以降の作品にも登場していましたね。,ガンダム
6,白ワインとなる葡萄の品種は？,シャルドネ,カベルネソーヴィニヨン,シラーズ,ガメイ,1,シャルドネは白ワイン用葡萄種として、世界一の消費量を誇ります。,ワイン
7,ボジョレ・ヌーヴォだけじゃない！解禁日のあるワインがある国は？,ドイツ,イタリア,スペイン,ポルトガル,2,ヴィーノ・ノベッロと言われ、毎年１０月３０日が解禁日となります。イタリア産オリーブオイルの新物オイルも、ノベッロと言われるものがあります(解禁日はありません）。,ワイン
8,イタリアのワインで”ワインの王様”と言われるものは？,キャンティ,バルバレスコ,バローロ,ランブルスコ,3,イタリアのピエモンテ州南部に存在するバローロ村および周辺の地域で生産された、赤ワインです。長期間熟成されアルコール度数が高く、重厚な味わいです。,ワイン
9,イタリアのワインで”ワインの女王”と言われるものは？,バローロ,アマローネ,ネッビオーロ,バルバレスコ,4,イタリアのピエモンテ州南部にあるバルバレスコ地域で製造されています。その味わいは優雅で複雑なアロマを有し、ワインの女王として人気を博しています。,ワイン
10,”ボルドー”と”ブルゴーニュ”に並ぶ、フランスワイン三大産地のひとつは？,シャンパーニュ,ロワール,プロヴァンス,シャンパーニュ,1,シャンパンの産地。シャンパーニュ地方で作られた発泡ワインのみ、シャンパンと呼ばれます。シャンパンと同じ製法の、スペインのカバも知られています。,ワイン
11,国産ワインの原料で、一番使用されるぶどう品種は？,マスカット・ベーリーA,甲州,ナイアガラ,シャルドネ,2,国産ワインの黎明期に”最もワインに適さない葡萄種”と言われた甲州は、品種改良により、最も使用される葡萄種へと育ちました。,ワイン
12,山梨県・長野県・北海道に次ぐ、国産ワイン生産県は？,栃木県,岡山県,山形県,新潟県,3,約１４０年前に近代国産ワインの製造が始まりますが、山形県のワイン生産もその頃から始まっています。,ワイン
13,”日本ワイン”と呼称されるのは、国産原料を何％使用したもの？,７０％,８０％,９０％,１００％,4,日本産ワインの普及を目指し、２０１８年に制度が制定されました。,ワイン
14,海外でも評価が上がる国産ワインが、合うと言われる食材は？,魚介類,畜肉類,山菜類,果実類,1,天ぷらに良く合うと、言われています。ワインのみでも楽しめる味わいと、ここ数年で外国人からの人気が急上昇しています。,ワイン
15,ドラマ”マッサン”のモデルが、最初に生産・販売したワインの原料は？,チェリーワイン,リンゴワイン,パイナップルワイン,たんぽぽワイン,2,最初はリンゴジュース製造から始まりました。ウイスキー製造の資金を得るために製造販売されました。,ワイン
16,日本酒の原料”酒米”、”山田錦”と並ぶ二大酒米の品種は？,美山錦,雄町,五百万石,出羽燦々,3,様々な素晴らしい酒米も開発されていますが、主に山田錦・五百万石 そして美山錦・雄町・出羽燦々の５種が使用されています。,酒
17,酒米と食用米は大きく３つの違いがありますが、次のうち間違ってるものは？,米粒の大きさ,たんぱく質と脂質の含有量,心白の有無,ビタミン量の違い,4,低たんぱくと低脂質により、雑味が少ないスッキリとした味わいが生まれます。心白はフルーティーな味わいを生む、重要な要素となります。,酒
18,近年話題となった”獺祭”、他の日本酒と何が違う？,コンピュータ管理で生産,製造工程を簡略化,新種の酒米を使用,食用米を使用,1,当初は杜氏との経営陣との意見の相違による、杜氏の総上がり(大量退職）があり、苦肉の対応策だったとのこと。結果的に近代化とコスト削減にも成功したことになります。、,酒
19,日本酒の名称である吟醸と大吟醸、違いは何？,醸造アルコールの含有量,精米の歩合,麹米の使用割合,特に基準は無い,2,吟醸のカテゴリーでありながら、等級が上である大吟醸に引けを取らない銘柄も少なくありません。,酒
20,日本酒の名称である純米大吟醸と大吟醸、違いは何？,醸造アルコールの含有量,精米の歩合,麹米の使用割合,特に基準は無い,1,純米大吟醸は、醸造アルコールを加えてません。敢えて精米歩合を上げて、更に味の違いを出す酒蔵も、多くあります。,酒
21,日本酒の名称である本醸造と特別本醸造、違いは何？,醸造アルコールの含有量,精米の歩合,麹米の使用割合,特に基準は無い,2,本醸造と特別本醸造と共に、味のレベルが格段に上がっています。気軽に飲める日本酒として、長く愛されています。,酒
22,酒税法で定められた日本酒のアルコール度数の上限は？,１６度未満,１８度未満,２０度未満,２２度未満,4,発酵を止めて度数を調整したり、原酒と呼ばれる製造したままの日本酒に、加水してアルコール度数を調整しています。,酒
23,時代を超え、密かな人気の泡盛。主な水源はなに？,各地域の湧き水,水道水,海洋深層水,雨水の蒸溜水,2,沖縄県に所在する４７軒の蔵元のほとんどが、水源は水道水との情報です。企業秘密としている蔵元を除きます。,酒
24,高知県で作られている栗焼酎で、人気の銘柄は？,ドバド火振,テバド火振,ダバダ火振,ボバボ火振,3,沈下橋や天然うなぎで有名な四万十川を囲む山では、甘みが強く３Lサイズ程度の栗が育つそうです。,酒
25,酒税法で定められた焼酎のアルコール度数の上限は？,25度,35度,45度,55度,3,原料や製法の違いなどもありますが、46度以上の酒はリキュールやブランデーとして区分されることがあります。,酒
26,Web環境での動的処理を実現するプログラムであって，Webサーバ上だけで動作するものはどれか。,"JavaScript
",Javaアプレット,Javaサーブレット,VBScript,3,Javaサーブレットは、Javaを用いてWebページのためのHTML文書を動的に生成したり、データ処理をWebサーバ上で実行するサーバサイドのプログラム技術です。JavaサーブレットはJava言語で書かれているのでさまざまなプラットフォームで使用できる利点があります。,ＩＴ関連
